YEAR,QUARTER,R,T,H,CLIMATE_RISK,DENGUE,MALARIA,Q_NUM,TIME,APOLLOHOSP_PRICE,AUROPHARMA_PRICE,CIPLA_PRICE,DRREDDY_PRICE,LUPIN_PRICE,SUNPHARMA_PRICE,APOLLOHOSP_VOL,AUROPHARMA_VOL,CIPLA_VOL,DRREDDY_VOL,LUPIN_VOL,SUNPHARMA_VOL
1901.0,Q1,73.30000000000001,20.11,3.472288015158693,0.1865375733993614,186.53757339936143,298.4601174389783,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1901.0,Q2,107.3,27.64,3.746508379888268,0.1865375733993614,373.07514679872287,373.0751467987228,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1901.0,Q3,750.9000000000001,28.16,25.751028806584365,0.1865375733993614,932.6878669968072,522.3052055182119,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1901.0,Q4,99.3,23.1,4.1203319502074685,0.1865375733993614,373.07514679872287,298.4601174389783,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902.0,Q1,11.6,20.88,0.530164533820841,0.3008654774015352,300.86547740153526,481.3847638424565,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902.0,Q2,111.9,27.96,3.863950276243094,0.3008654774015352,601.7309548030705,601.7309548030705,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902.0,Q3,797.8,27.98,27.52933057280883,0.3008654774015352,1504.3273870076762,842.4233367242987,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902.0,Q4,117.1,22.51,4.980859208847299,0.3008654774015352,601.7309548030705,481.3847638424565,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903.0,Q1,24.7,19.99,1.1767508337303478,0.5147312453520214,514.7312453520215,823.5699925632343,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903.0,Q2,107.7,27.02,3.8436830835117775,0.5147312453520214,1029.462490704043,1029.462490704043,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903.0,Q3,885.6,28.0,30.53793103448276,0.5147312453520214,2573.656226760107,1441.24748698566,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903.0,Q4,177.8,22.33,7.621088726960996,0.5147312453520214,1029.462490704043,823.5699925632343,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904.0,Q1,24.6,19.76,1.184971098265896,0.2194784112503683,219.4784112503684,351.1654580005894,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904.0,Q2,138.89999999999998,27.23,4.92029755579171,0.2194784112503683,438.9568225007368,438.95682250073673,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904.0,Q3,764.3,27.57,26.751837591879596,0.2194784112503683,1097.392056251842,614.5395515010314,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904.0,Q4,97.4,22.56,4.134125636672327,0.2194784112503683,438.9568225007368,351.1654580005894,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905.0,Q1,45.0,18.36,2.324380165289256,0.12710142513701,127.10142513701004,203.36228021921605,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905.0,Q2,131.39999999999998,26.38,4.799123447772096,0.12710142513701,254.20285027402008,254.20285027402005,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905.0,Q3,726.5,28.2,24.88013698630137,0.12710142513701,635.5071256850501,355.88399038362803,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905.0,Q4,74.6,23.13,3.0915872358060503,0.12710142513701,254.20285027402008,203.36228021921605,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1906.0,Q1,71.3,19.75,3.436144578313253,0.5471093634621246,547.1093634621246,875.3749815393993,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1906.0,Q2,84.4,27.39,2.972877773864037,0.5471093634621246,1094.2187269242493,1094.218726924249,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1906.0,Q3,898.8,27.78,31.230020847810977,0.5471093634621246,2735.546817310623,1531.9062176939483,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1906.0,Q4,94.6,23.11,3.923683119037744,0.5471093634621246,1094.2187269242493,875.3749815393993,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1907.0,Q1,61.5,20.51,2.859135285913528,0.2630041560541231,263.0041560541231,420.806649686597,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1907.0,Q2,132.10000000000002,26.53,4.798401743552489,0.2630041560541231,526.0083121082462,526.0083121082462,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1907.0,Q3,782.1999999999999,27.74,27.21642310368824,0.2630041560541231,1315.0207802706154,736.4116369515446,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1907.0,Q4,59.0,22.88,2.4706867671691795,0.2630041560541231,526.0083121082462,420.806649686597,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908.0,Q1,37.0,20.12,1.7518939393939392,0.55723947350361,557.23947350361,891.5831576057761,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908.0,Q2,84.69999999999999,27.53,2.968804766912022,0.55723947350361,1114.47894700722,1114.47894700722,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908.0,Q3,902.9,27.65,31.51483420593369,0.55723947350361,2786.19736751805,1560.270525810108,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908.0,Q4,52.6,22.21,2.2662645411460574,0.55723947350361,1114.47894700722,891.5831576057761,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1909.0,Q1,37.9,20.08,1.797912713472486,0.5405414663224425,540.5414663224425,864.8663461159081,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1909.0,Q2,119.4,27.14,4.243070362473348,0.5405414663224425,1081.082932644885,1081.082932644885,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1909.0,Q3,895.9000000000001,27.32,31.63488700564972,0.5405414663224425,2702.7073316122123,1513.5161057028388,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1909.0,Q4,75.4,22.9,3.154811715481172,0.5405414663224425,1081.082932644885,864.8663461159081,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1910.0,Q1,23.8,20.24,1.120527306967985,0.6196439902819841,619.6439902819842,991.4303844511746,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1910.0,Q2,83.5,27.29,2.9515729939908097,0.6196439902819841,1239.2879805639684,1239.2879805639682,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1910.0,Q3,928.4,27.44,32.64416315049226,0.6196439902819841,3098.2199514099207,1735.0031727895553,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1910.0,Q4,148.20000000000002,22.01,6.440677966101696,0.6196439902819841,1239.2879805639684,991.4303844511746,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1911.0,Q1,45.9,20.34,2.150890346766636,0.1669478457135308,166.9478457135308,267.11655314164926,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1911.0,Q2,114.3,26.95,4.089445438282648,0.1669478457135308,333.8956914270616,333.8956914270616,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1911.0,Q3,742.8,27.83,25.764828303850155,0.1669478457135308,834.739228567654,467.4539679978862,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1911.0,Q4,126.0,22.72,5.311973018549748,0.1669478457135308,333.8956914270616,267.11655314164926,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912.0,Q1,41.900000000000006,20.89,1.91411603471905,0.3350383900796757,335.0383900796757,536.061424127481,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912.0,Q2,101.6,27.31,3.588837866478276,0.3350383900796757,670.0767801593514,670.0767801593513,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912.0,Q3,811.8,27.88,28.109418282548475,0.3350383900796757,1675.1919503983784,938.1074922230918,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912.0,Q4,115.2,22.39,4.925181701581873,0.3350383900796757,670.0767801593514,536.061424127481,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1913.0,Q1,44.4,20.28,2.0864661654135337,0.2743239910151896,274.3239910151897,438.9183856243035,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1913.0,Q2,122.3,27.01,4.366297750803285,0.2743239910151896,548.6479820303794,548.6479820303794,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1913.0,Q3,786.8000000000001,27.57,27.539376968848444,0.2743239910151896,1371.6199550759484,768.1071748425311,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1913.0,Q4,108.6,22.5,4.62127659574468,0.2743239910151896,548.6479820303794,438.9183856243035,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1914.0,Q1,31.9,20.51,1.4830311483031149,0.6232187847873376,623.2187847873377,997.1500556597402,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1914.0,Q2,136.1,26.92,4.874641833810888,0.6232187847873376,1246.4375695746753,1246.4375695746753,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1914.0,Q3,930.0,27.71,32.39289446185998,0.6232187847873376,3116.093923936688,1745.0125974045454,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1914.0,Q4,87.80000000000001,22.75,3.6968421052631584,0.6232187847873376,1246.4375695746753,997.1500556597402,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1915.0,Q1,57.3,20.09,2.716927453769559,0.2612173032476216,261.2173032476216,417.9476851961946,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1915.0,Q2,141.6,27.45,4.977152899824253,0.2612173032476216,522.4346064952432,522.4346064952432,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1915.0,Q3,781.5999999999999,28.33,26.64848278213433,0.2612173032476216,1306.086516238108,731.4084490933404,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1915.0,Q4,143.89999999999998,23.14,5.961060480530239,0.2612173032476216,522.4346064952432,417.9476851961946,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1916.0,Q1,24.700000000000003,20.2,1.1650943396226416,0.8094787015109997,809.4787015109997,1295.1659224175994,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1916.0,Q2,105.6,27.86,3.659043659043659,0.8094787015109997,1618.9574030219994,1618.9574030219992,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1916.0,Q3,1006.3,27.5,35.308771929824566,0.8094787015109997,4047.3935075549994,2266.540364230799,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1916.0,Q4,188.4,22.34,8.071979434447302,0.8094787015109997,1618.9574030219994,1295.1659224175994,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1917.0,Q1,45.5,20.16,2.1502835538752363,0.9999999922370196,999.9999922370196,1599.9999875792314,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1917.0,Q2,134.6,26.16,4.955817378497791,0.9999999922370196,1999.999984474039,1999.9999844740391,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1917.0,Q3,1084.3000000000002,27.3,38.31448763250884,0.9999999922370196,4999.999961185097,2799.9999782636546,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1917.0,Q4,199.7,22.14,8.63007778738116,0.9999999922370196,1999.999984474039,1599.9999875792314,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1918.0,Q1,15.8,19.75,0.7614457831325302,0.1815911242238336,181.5911242238336,290.5457987581338,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1918.0,Q2,176.0,26.82,6.326383896477354,0.1815911242238336,363.1822484476672,363.1822484476672,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1918.0,Q3,748.8,27.78,26.0180681028492,0.1815911242238336,907.955621119168,508.4551478267341,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1918.0,Q4,79.7,22.81,3.3473330533389336,0.1815911242238336,363.1822484476672,290.5457987581338,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1919.0,Q1,69.0,20.48,3.212290502793296,0.6663670187965206,666.3670187965207,1066.187230074433,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1919.0,Q2,111.3,27.33,3.928697493822803,0.6663670187965206,1332.7340375930414,1332.7340375930412,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1919.0,Q3,947.7,27.7,33.02090592334495,0.6663670187965206,3331.835093982603,1865.8276526302573,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1919.0,Q4,159.79999999999998,22.71,6.739772247996625,0.6663670187965206,1332.7340375930414,1066.187230074433,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920.0,Q1,45.2,20.24,2.1280602636534844,0.2429867732200252,242.98677322002524,388.7788371520404,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920.0,Q2,145.8,26.91,5.223934073808671,0.2429867732200252,485.9735464400505,485.9735464400505,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920.0,Q3,774.0,27.8,26.875,0.2429867732200252,1214.933866100126,680.3629650160707,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920.0,Q4,74.1,23.09,3.075965130759651,0.2429867732200252,485.9735464400505,388.7788371520404,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1921.0,Q1,45.0,20.87,2.05761316872428,0.7092728995591582,709.2728995591583,1134.8366392946532,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1921.0,Q2,112.9,28.46,3.832315003394433,0.7092728995591582,1418.5457991183166,1418.5457991183164,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
