YEAR,QUARTER,R,T,H,CLIMATE_RISK,DENGUE,MALARIA,DENGUE_TARGET,MALARIA_TARGET
1901.0,Q1,73.30000000000001,20.11,3.472288015158693,0.1865375733993614,286.56968716232996,45.58968810583745,0,0
1901.0,Q2,107.3,27.64,3.746508379888268,0.1865375733993614,495.47895851084866,59.35082261906214,0,0
1901.0,Q3,750.9000000000001,28.16,25.751028806584365,0.1865375733993614,834.6474619983716,375.03373620740115,1,1
1901.0,Q4,99.3,23.1,4.1203319502074685,0.1865375733993614,416.1220735327424,53.286403688496016,0,0
1902.0,Q1,11.6,20.88,0.530164533820841,0.3008654774015352,260.1462253766531,17.18620992499876,0,0
1902.0,Q2,111.9,27.96,3.863950276243094,0.3008654774015352,502.91865033176055,68.92176870475954,0,0
1902.0,Q3,797.8,27.98,27.52933057280883,0.3008654774015352,922.9872043309753,391.6380299339638,1,1
1902.0,Q4,117.1,22.51,4.980859208847299,0.3008654774015352,379.3952118044583,71.03449572486844,0,0
1903.0,Q1,24.7,19.99,1.1767508337303478,0.5147312453520214,238.25655023154067,20.582870398546177,0,0
1903.0,Q2,107.7,27.02,3.8436830835117775,0.5147312453520214,508.44800367737696,64.73275451227495,0,0
1903.0,Q3,885.6,28.0,30.53793103448276,0.5147312453520214,795.16154816396,494.8485558089487,1,1
1903.0,Q4,177.8,22.33,7.621088726960996,0.5147312453520214,355.2313366942538,108.5222062585043,0,1
1904.0,Q1,24.6,19.76,1.184971098265896,0.2194784112503683,250.3853042244344,19.581018779573434,0,0
1904.0,Q2,138.89999999999998,27.23,4.92029755579171,0.2194784112503683,405.8884998929311,77.57055223004821,0,0
1904.0,Q3,764.3,27.57,26.7518375918796,0.2194784112503683,637.0228518551015,392.7699818852201,1,1
1904.0,Q4,97.4,22.56,4.134125636672327,0.2194784112503683,326.14129272384645,45.709383271319965,0,0
1905.0,Q1,45.0,18.36,2.324380165289256,0.12710142513701,198.572461662713,26.11094065802643,0,0
1905.0,Q2,131.39999999999998,26.38,4.799123447772096,0.12710142513701,486.36047045319896,88.85673097710877,0,0
1905.0,Q3,726.5,28.2,24.88013698630137,0.12710142513701,704.8172846106199,447.7281114502823,1,1
1905.0,Q4,74.6,23.13,3.0915872358060503,0.12710142513701,302.085627998699,46.59852565733364,0,0
1906.0,Q1,71.3,19.75,3.436144578313253,0.5471093634621246,302.2211364702373,47.51460872874087,0,0
1906.0,Q2,84.4,27.39,2.972877773864037,0.5471093634621246,473.83395963025515,56.03664477769941,0,0
1906.0,Q3,898.8,27.78,31.230020847810977,0.5471093634621246,837.5438934880111,618.6363046988974,1,1
1906.0,Q4,94.6,23.11,3.923683119037744,0.5471093634621246,308.2463146399331,64.61971191405054,0,0
1907.0,Q1,61.5,20.51,2.859135285913528,0.2630041560541231,262.72791968751807,39.58473458053157,0,0
1907.0,Q2,132.10000000000002,26.53,4.798401743552489,0.2630041560541231,481.870454343832,71.07259389504154,0,0
1907.0,Q3,782.1999999999999,27.74,27.21642310368824,0.2630041560541231,692.6555237122757,346.72307190942405,1,1
1907.0,Q4,59.0,22.88,2.4706867671691795,0.2630041560541231,351.1528888388212,40.44681014873115,0,0
1908.0,Q1,37.0,20.12,1.7518939393939392,0.55723947350361,242.7048638097433,25.18779576570802,0,0
